order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2024-02-28 05:00:24,1680,4,1
2,2025-06-09 07:23:54,117,2,2
3,2024-08-04 07:18:49,1903,4,2
4,2023-12-28 08:10:34,1990,1,2
5,2023-02-28 01:19:36,739,4,3
6,2024-10-17 07:25:37,1876,3,3
7,2024-05-12 16:58:35,912,2,4
8,2025-06-06 23:30:38,792,3,5
9,2025-08-19 13:43:04,700,1,6
10,2022-11-04 08:50:58,1930,2,6
11,2024-12-21 04:28:48,33,3,7
12,2024-08-04 13:16:42,1942,1,7
13,2025-03-13 03:46:16,1721,4,8
14,2025-02-05 07:56:56,346,4,9
15,2023-10-18 04:53:37,916,3,9
16,2023-11-23 05:14:42,1806,1,9
17,2025-07-04 15:24:52,123,2,10
18,2025-04-20 13:28:24,917,2,10
19,2024-11-10 05:04:06,1562,2,10
20,2024-04-24 06:50:35,1064,1,11
21,2023-11-19 20:12:32,1160,1,11
22,2023-09-02 18:11:10,1468,1,11
23,2023-06-19 03:27:42,585,2,12
24,2024-06-14 05:53:59,1055,1,12
25,2024-02-11 16:44:42,1579,2,12
26,2023-10-12 08:51:30,51,3,13
27,2023-06-17 01:24:27,448,1,13
28,2023-05-15 02:49:27,1445,2,13
29,2024-07-18 00:47:36,461,4,14
30,2023-09-26 21:27:45,1401,2,14
31,2024-10-09 00:27:05,1015,2,15
32,2024-09-24 15:13:11,1575,4,15
33,2023-08-30 04:54:58,547,3,16
34,2024-08-21 12:13:58,831,4,16
35,2022-11-22 03:58:50,1051,2,16
36,2022-11-07 21:20:20,1347,4,16
37,2022-11-06 17:24:58,91,3,17
38,2023-02-21 02:39:39,615,3,17
39,2025-09-14 21:36:47,831,4,17
40,2023-11-06 10:30:14,1335,2,17
41,2025-06-06 12:51:40,456,2,18
42,2024-04-02 13:37:46,1026,2,18
43,2023-08-14 07:00:41,1183,2,18
44,2025-02-15 18:21:29,123,2,19
45,2023-07-25 05:30:10,493,4,19
46,2025-03-18 19:08:11,978,2,19
47,2025-09-02 09:52:08,1011,1,19
48,2025-07-15 23:05:14,178,3,20
49,2024-11-18 21:38:29,1165,2,20
50,2025-08-19 19:12:12,1171,1,20
51,2024-10-14 09:53:52,1343,2,20
52,2022-12-05 23:01:54,1529,3,20
53,2025-03-28 20:19:34,1634,1,20
54,2022-11-24 18:42:48,1653,3,20
55,2023-07-31 12:25:16,579,1,21
56,2024-08-11 03:23:07,1625,3,21
