line_id,order_id,book_id,price
1,840,8528,10.45
2,4935,3487,19.99
3,6982,631,5.7
4,9029,2846,8.46
5,2360,3883,9.5
6,567,3659,4.38
7,4662,1194,17.6
8,6709,882,15.11
9,8756,6003,8.62
10,9779,5972,7.81
11,783,3813,10.84
12,4878,7574,15.57
13,6925,9450,18.24
14,8972,123,6.39
15,1148,6284,17.31
16,1822,7033,11.29
17,5243,10316,18.83
18,7290,10313,16.19
19,218,2957,18.02
20,4313,7866,16.64
21,6360,447,14.08
22,8407,4449,17.74
23,9430,2628,10.39
24,10453,9890,17.72
25,10964,8493,3.17
26,354,5588,0.71
27,454,7473,5.02
28,4449,2684,9.05
29,4549,5994,6.72
30,6496,712,6.24
31,6596,4084,17.99
32,8543,4420,5.75
33,8643,2723,7.23
34,9566,828,5.74
35,9666,2353,3.93
36,10589,3875,3.03
37,1031,7930,2.18
38,5126,4531,14.18
39,7173,3594,9.76
40,277,5247,17.87
41,4372,588,11.67
42,6419,8450,0.93
43,8466,10613,12.6
44,9489,3203,10.99
45,10512,9846,15.51
46,11023,2479,15.75
47,1788,2985,19.59
48,1309,1030,10.48
49,5404,3815,2.84
50,716,7585,19.65
51,2062,9639,7.7
52,4811,3615,9.4
53,6858,4186,9.41
54,8905,2493,14.17
55,258,9678,4.48
56,4353,5681,17.61
57,6400,9697,14.32
58,8447,10730,13.49
59,9470,5335,7.47
60,10493,4785,0.58
61,11004,9520,3.81
62,293,4299,7.19
63,1586,7117,2.38
64,4388,7514,0.4
65,6435,828,6.23
66,8482,3727,14.8
67,9505,7723,5.02
68,10528,1924,2.23
69,11039,423,17.12
70,1060,1838,5.17
71,5155,8863,4.15
72,7202,7217,12.4
73,1291,1723,18.27
74,5386,1157,15.58
75,252,6479,11.5
76,4347,1423,18.29
77,6394,2101,4.01
78,8441,4862,11.65
79,9464,6705,5.3
80,10487,5758,15.84
81,10998,4541,13.28
82,1124,1078,9.83
83,1467,1862,7.23
84,5219,3410,8.94
85,5562,3519,4.8
86,7266,2796,10.73
87,1478,10328,0.64
88,5573,4171,15.57
89,742,8539,10.04
90,4837,2321,10.72
91,6884,610,13.31
92,8931,1829,16.49
93,1603,7000,13.44
94,1186,5268,7.02
95,1468,3714,12.33
96,2307,904,11.13
97,5281,6000,0.53
98,5563,5719,9.82
99,7328,10153,1.79
100,2377,7915,5.75
101,922,3368,13.02
102,5017,3874,15.74
103,7064,9916,1.89
104,1696,8900,14.3
105,492,1962,14.72
106,866,1671,10.87
107,4587,2971,14.09
108,4961,8027,9.87
109,6634,3387,0.81
110,7008,3225,6.54
111,8681,8531,17.04
112,9055,10672,4.8
113,9704,3602,17.96
114,2064,5770,17.98
115,1935,10445,19.94
116,11,1877,17.05
117,1624,8408,4.43
118,4106,9349,10.74
119,6153,1825,4.18
120,8200,6152,2.75
121,9223,333,14.73
122,10246,6584,15.0
123,10757,10841,12.44
124,11268,2081,1.38
125,11395,8728,14.29
126,959,2449,19.13
127,5054,1364,14.86
128,7101,3875,10.23
129,2065,5715,0.66
130,188,6950,0.47
131,4283,2722,3.04
132,6330,290,13.48
133,8377,3252,8.78
134,9400,3549,5.54
135,10423,4773,6.26
136,10934,3107,9.13
137,1011,4948,17.08
138,2042,10416,2.37
139,5106,8723,11.29
140,7153,5235,13.18
141,613,9824,8.76
142,4708,6030,7.9
143,6755,3889,11.25
144,8802,8493,2.59
145,2380,3983,8.02
146,2105,10361,9.06
147,1534,5234,19.87
148,2235,6196,16.07
149,388,3851,6.41
150,815,6271,17.14
