genre,book_id,order_id,order_date,customer_id,price,ordr_status_id,only_date,churn
Fiction,2,398.0,2025-08-20 09:31:27,1251.0,16.7,1,2025-08-20,0.0
Fiction,2,398.0,2025-08-20 09:31:27,1251.0,16.7,2,2025-08-20,0.0
Fiction,2,398.0,2025-08-20 09:31:27,1251.0,16.7,3,2025-08-20,0.0
Fiction,2,398.0,2025-08-20 09:31:27,1251.0,16.7,4,2025-08-20,0.0
Fiction,3,5295.0,2024-01-09 14:23:06,1133.0,18.5,1,2024-01-09,1.0
Fiction,3,5295.0,2024-01-09 14:23:06,1133.0,18.5,2,2024-01-09,1.0
Fiction,3,5295.0,2024-01-09 14:23:06,1133.0,18.5,3,2024-01-09,1.0
Fiction,3,5295.0,2024-01-09 14:23:06,1133.0,18.5,4,2024-01-09,1.0
Fiction,3,6303.0,2025-10-21 01:34:58,1465.0,4.46,1,2025-10-21,0.0
Fiction,3,6303.0,2025-10-21 01:34:58,1465.0,4.46,2,2025-10-21,0.0
Biography,4,6821.0,2024-06-17 23:40:03,1022.0,10.25,1,2024-06-17,1.0
Biography,4,6821.0,2024-06-17 23:40:03,1022.0,10.25,2,2024-06-17,1.0
Biography,4,6821.0,2024-06-17 23:40:03,1022.0,10.25,3,2024-06-17,1.0
Biography,4,6821.0,2024-06-17 23:40:03,1022.0,10.25,4,2024-06-17,1.0
Biography,6,8222.0,2025-05-06 13:16:17,547.0,8.47,1,2025-05-06,0.0
Biography,6,8222.0,2025-05-06 13:16:17,547.0,8.47,2,2025-05-06,0.0
Biography,6,8222.0,2025-05-06 13:16:17,547.0,8.47,3,2025-05-06,0.0
Biography,6,8222.0,2025-05-06 13:16:17,547.0,8.47,4,2025-05-06,0.0
Fiction,8,584.0,2023-03-05 07:03:35,1626.0,19.62,1,2023-03-05,0.0
Fiction,8,584.0,2023-03-05 07:03:35,1626.0,19.62,2,2023-03-05,0.0
Fiction,8,584.0,2023-03-05 07:03:35,1626.0,19.62,3,2023-03-05,0.0
